Input name	Standardized name	Formula	Exact mass	Super class	Main class	Sub class	Pubchem CID	CHEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	 REFMET_ID
1,3-Dimethyluracil	1,3-Dimethyluracil	C6H8N2O2	140.0586	Nucleic acids	Pyrimidines	Other pyrimidines	70122	74763	HMDB0002144			JSDBKAHWADVXFU-UHFFFAOYSA-N	RM0109158
2,4-Diaminobutyric acid	2,4-Diaminobutyric acid	C4H10N2O2	118.0742	Fatty Acyls	Fatty acids	Amino FA	134490	48950	HMDB0006284		C03283	OGNSCSPNOLGXSM-VKHMYHEASA-N	RM0152377
3,4-Dihydroxymandelic acid	3,4-Dihydroxymandelic acid	C8H8O5	184.0372	Organic acids	Phenylpropanoids	Cinnamic acids	85782	27637	HMDB0001866		C05580	RGHMISIYKIHAJW-UHFFFAOYSA-N	RM0136121
3-Methylxanthine	3-Methylxanthine	C6H6N4O2	166.0491	Nucleic acids	Purines	Xanthines	70639	62207	HMDB0001886		C16357	GMSNIKWWOQHZGF-UHFFFAOYSA-N	RM0157839
5-Methoxytryptophol	5-Methoxytryptophol	C11H13NO2	191.0946	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids	12835	89851	HMDB0001896			QLWKTGDEPLRFAT-UHFFFAOYSA-N	RM0108608
6-(Methylamino) purine	6-Methyladenine	C6H7N5	149.0701	Nucleic acids	Purines	Aminopurines	67955	28871	HMDB0002099		C08434	CKOMXBHMKXXTNW-UHFFFAOYSA-N	RM0136159
Androstenedione	Androstenedione	C19H26O2	286.1933	Sterol Lipids	Steroids	C19 Steroids	6128	16422	HMDB0000053	LMST02020007	C00280	AEMFNILZOJDQLW-QAGGRKNESA-N	RM0159794
Aspartyl-lysine	Asp-Lys	C10H19N3O5	261.1325	Organic acids	Amino acids and peptides	Dipeptides	6427003	73829	HMDB0004987			OAMLVOVXNKILLQ-BQBZGAKWSA-N	RM0139062
Butanone	Butanone	C4H8O	72.0575	Organic oxygen compounds	Carbonyl compounds	Ketones	6569	28398	HMDB0000474	LMFA12000043	C02845	ZWEHNKRNPOVVGH-UHFFFAOYSA-N	RM0135018
Canavanine	Canavanine	C5H12N4O3	176.0909	Organic acids	Amino acids and peptides	Amino acids	439202	405237	HMDB0002706		C00308	FSBIGDSBMBYOPN-VKHMYHEASA-N	RM0132194
Cortisol	Cortisol	C21H30O5	362.2093	Sterol Lipids	Steroids	C21 Steroids	5754	17650	HMDB0000063	LMST02030001	C00735	JYGXADMDTFJGBT-VWUMJDOOSA-N	RM0135767
Coumarin	Coumarin	C9H6O2	146.0368	Polyketides	Flavonoids	Coumarins	323	28794	HMDB0001218		C05851	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	RM0037517
Deoxycholic acid glycine conjugate	Glycodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	3035026	27471	HMDB0000631	LMST05030006	C05464	WVULKSPCQVQLCU-BUXLTGKBSA-N	RM0125880
Dihydrothymine	Dihydrothymine	C5H8N2O2	128.0586	Organoheterocyclic compounds	Cyclic ureas	Ureides	93556	27468	HMDB0304210		C00906	NBAKTGXDIBVZOO-UHFFFAOYSA-N	RM0135880
Ethanolamine	Ethanolamine	C2H7NO	61.0528	Organic nitrogen compounds	Amines	1,2-aminoalcohols	700	16000	HMDB0000149		C00189	HZAXFHJVJLSVMW-UHFFFAOYSA-N	RM0040238
Glycocholic acid	Glycocholic acid	C26H43NO6	465.3090	Sterol Lipids	Bile acids	C24 Bile acids	10140	17687	HMDB0000138	LMST05030001	C01921	RFDAIACWWDREDC-FRVQLJSFSA-N	RM0135849
Guanosine 5′-triphosphate	-						-	-	-	-	-	-	-
L-Dopa	DOPA	C9H11NO4	197.0688	Organic acids	Amino acids and peptides	Amino acids	6047	15765	HMDB0000181		C00355	WTDRDQBEARUVNC-LURJTMIESA-N	RM0138924
L-Kynurenine	Kynurenine	C10H12N2O3	208.0848	Organic acids	Amino acids and peptides	Amino acids	161166	16946	HMDB0000684		C00328	YGPSJZOEDVAXAB-QMMMGPOBSA-N	RM0132226
L-histidine	Histidine	C6H9N3O2	155.0695	Organic acids	Amino acids and peptides	Amino acids	6274	15971	HMDB0000177		C00135	HNDVDQJCIGZPNO-YFKPBYRVSA-N	RM0129894
Neopterin	Neopterin	C9H11N5O4	253.0811	Organoheterocyclic compounds	Pterins	Biopterins	135408877		HMDB0000845		C05926	BMQYVXCPAOLZOK-UHFFFAOYSA-N	RM0029599
Nutriacholic acid	7-Ketolithocholic acid	C24H38O4	390.2770	Sterol Lipids	Bile acids	C24 Bile acids	444262	82679	HMDB0000467	LMST04010150		DXOCDBGWDZAYRQ-AURDAFMXSA-N	RM0135821
Phosphocreatine	Phosphocreatine	C4H10N3O5P	211.0358	Organic acids	Amino acids and peptides	Amino acids	9548602	17287	HMDB0001511		C02305	DRBBFCLWYRJSJZ-UHFFFAOYSA-N	RM0009827
